Beneficiary_ID,Name,Age,Gender,Mobile,Aadhaar,State,District,Village,Occupation,Monthly_Income,Annual_Income,Family_Size,BPL_Status,Ration_Card,Disability,Chronic_Disease,PMJAY_Registered,Eligible,Latitude,Longitude
BEN00026,Zehaan Agate,62,Female,5876255988,463080281895,Uttar Pradesh,Varanasi,Ahmednagar,Shopkeeper,32831,393972,4,Yes,PHH,No,No,No,No,26.60297,79.590673
BEN00027,Saanvi Doshi,51,Male,0575639945,877579719274,Madhya Pradesh,Gwalior,Dindigul,Tailor,37795,453540,1,Yes,AAY,No,No,Yes,No,34.085637,73.512284
BEN00028,Shravya Mody,84,Male,7270568695,549540881993,Rajasthan,Jaipur,Narasaraopet,Nurse,50739,608868,7,Yes,AAY,No,No,Yes,No,34.101358,82.706553
BEN00029,Jasmit Mani,55,Male,0477761147,430714225291,Maharashtra,Nashik,Tezpur,Homemaker,28144,337728,7,No,None,No,No,Yes,No,16.727546,83.890179
BEN00030,Chasmum Kala,73,Female,3762460261,663859569104,Maharashtra,Pune,Amroha,Mechanic,63946,767352,8,No,None,No,No,No,No,29.342882,87.106672
BEN00031,Xiti Agrawal,29,Male,6802851987,734065014236,Gujarat,Rajkot,Nandyal,Homemaker,43687,524244,4,No,None,No,Yes,No,No,32.642393,70.112019
BEN00032,Naksh Parsa,81,Female,9410126437,669924601388,Uttar Pradesh,Varanasi,Ghaziabad,Labourer,34979,419748,3,No,None,Yes,No,No,Yes,30.574192,74.346393
BEN00033,Jhalak Banerjee,89,Male,8911315088,570319440963,Rajasthan,Jaipur,Indore,Mechanic,18906,226872,8,Yes,PHH,No,No,Yes,No,33.851352,85.766917
BEN00034,Ayush Rama,38,Female,7340122639,882016836343,Gujarat,Vadodara,Ambattur,Mason,61991,743892,5,No,None,No,No,No,No,26.175705,75.963326
BEN00035,Lakshit Kumar,52,Female,4781821924,166210246191,Maharashtra,Pune,Chandigarh,Tailor,44904,538848,2,Yes,AAY,No,No,Yes,No,19.820382,83.735723
BEN00036,Jagdish Aggarwal,67,Male,2941369091,633523151180,Uttar Pradesh,Varanasi,Madhyamgram,Student,52857,634284,8,Yes,PHH,No,No,No,No,29.677954,83.837837
BEN00037,Urvashi Nagar,73,Female,1562140357,533391959419,Uttar Pradesh,Agra,Baranagar,Driver,6804,81648,7,Yes,PHH,No,No,Yes,Yes,36.440937,83.489585
BEN00038,Advaith Chhabra,21,Male,4330194476,406571012708,Gujarat,Bhavnagar,Raebareli,Mason,59179,710148,3,No,None,No,No,Yes,No,17.478528,90.075662
BEN00039,Gopal Lalla,28,Female,0204316419,320105405793,Rajasthan,Kota,Phagwara,Retired,5540,66480,1,No,None,No,No,No,No,9.167486,68.89987
BEN00040,Frado Kala,37,Male,9272458156,924477962743,Madhya Pradesh,Ujjain,Bally,Mechanic,19544,234528,8,No,None,No,No,Yes,No,18.69796,85.570888
BEN00041,Anjali Kala,57,Male,0083759851,368981957930,Madhya Pradesh,Bhopal,Kakinada,Electrician,6365,76380,5,No,None,No,No,No,No,10.203898,88.027818
BEN00042,Hemani Issac,33,Male,9931668544,499263542423,Madhya Pradesh,Indore,Ghaziabad,Tailor,48508,582096,7,No,None,Yes,No,Yes,Yes,31.847597,71.060627
BEN00043,Zilmil Lal,73,Male,1504410980,597707816158,Rajasthan,Jodhpur,Gurgaon,Electrician,38400,460800,8,No,None,No,No,Yes,No,32.0912,70.513224
BEN00044,Tristan Baral,90,Female,8265278951,711071920529,Uttar Pradesh,Varanasi,Berhampore,Teacher,47092,565104,1,No,None,No,No,Yes,No,17.869826,93.529279
BEN00045,Yagnesh Gulati,42,Male,5719408159,341781900773,Madhya Pradesh,Ujjain,Warangal,Mason,34635,415620,7,No,None,No,No,Yes,No,20.997062,68.500055
BEN00046,Upma Narayan,57,Female,4455160658,313551290143,Rajasthan,Jodhpur,Kollam,Teacher,65031,780372,6,No,None,No,No,Yes,No,16.892067,74.685603
BEN00047,Hritik Parikh,86,Male,4772416605,422956275865,Maharashtra,Mumbai,Berhampore,Homemaker,28105,337260,4,No,None,No,No,No,No,16.206962,70.915257
BEN00048,Samesh Lad,40,Female,3215719875,116633204627,Uttar Pradesh,Agra,Suryapet,Retired,4854,58248,3,Yes,AAY,No,No,Yes,Yes,33.185375,82.235482
BEN00049,Bhavna Naidu,78,Female,9111741877,158782859546,Gujarat,Rajkot,North Dumdum,Tailor,60733,728796,6,Yes,AAY,Yes,No,Yes,Yes,22.26065,84.733614
BEN00050,Manthan Bhatti,90,Female,5722847218,428318986734,Uttar Pradesh,Kanpur,Bhilai,Mechanic,14164,169968,4,Yes,AAY,No,No,No,Yes,23.154604,81.064919
BEN00051,Rehaan Baria,57,Male,9692386033,857849142762,Gujarat,Vadodara,Rajkot,Student,16006,192072,4,No,None,No,Yes,Yes,No,10.176881,68.077596
BEN00052,Vrinda Chanda,55,Male,2642658791,983308055200,Gujarat,Vadodara,Tinsukia,Teacher,33340,400080,5,No,None,No,No,Yes,No,30.847013,86.126682
BEN00053,Shivansh Oza,32,Male,7127890585,235030135894,Uttar Pradesh,Varanasi,Hyderabad,Nurse,22528,270336,5,No,None,Yes,Yes,Yes,Yes,31.902969,94.714583
BEN00054,Mugdha Naidu,69,Female,1364993586,842865751617,Rajasthan,Kota,Noida,Homemaker,68597,823164,8,No,None,No,No,Yes,No,15.260669,70.64848
BEN00055,Ekaraj Dara,20,Female,3337309964,202946308354,Gujarat,Bhavnagar,Mathura,Homemaker,8273,99276,3,No,None,No,No,Yes,No,20.640665,91.613103
BEN00056,Radhika Bhavsar,70,Female,9989160843,196442742929,Rajasthan,Kota,Parbhani,Tailor,45081,540972,2,No,None,No,No,Yes,No,31.593415,83.952802
BEN00057,Aarnav Garde,59,Male,8480510489,935122206857,Maharashtra,Nagpur,Gulbarga,Shopkeeper,55976,671712,1,No,None,No,No,Yes,No,26.056382,82.4563
BEN00058,Edhitha Goyal,52,Male,1426148309,115250737438,Madhya Pradesh,Bhopal,Panchkula,Mechanic,40752,489024,8,No,None,No,Yes,Yes,No,14.939626,72.592967
BEN00059,Ronith Ratti,29,Male,7035555835,631866089440,Gujarat,Vadodara,Dibrugarh,Teacher,17871,214452,8,No,None,No,Yes,No,No,22.757288,75.929322
BEN00060,Quincy Chopra,76,Male,7525052469,657434001695,Rajasthan,Jodhpur,Dharmavaram,Teacher,53277,639324,4,No,None,No,No,No,No,30.407579,92.777959
BEN00061,Damyanti Mohanty,54,Female,2113916414,364988738014,Maharashtra,Mumbai,Mira-Bhayandar,Tailor,67178,806136,3,No,None,No,No,No,No,21.204994,77.331543
BEN00062,Fariq Malhotra,47,Female,1963895751,641819166671,Gujarat,Vadodara,Nangloi Jat,Retired,8720,104640,6,No,None,No,No,Yes,No,30.979416,86.908551
BEN00063,Pavani Datta,82,Female,1272739233,784353909489,Madhya Pradesh,Bhopal,Munger,Labourer,16154,193848,8,Yes,AAY,No,Yes,Yes,No,21.615227,96.106905
BEN00064,Aarav Chana,60,Female,0043656876,933646465420,Rajasthan,Jaipur,Bareilly,Teacher,44505,534060,8,No,None,Yes,Yes,Yes,Yes,36.925352,89.656225
BEN00065,Yasti Sampath,39,Female,5052244709,285456932180,Madhya Pradesh,Jabalpur,Kottayam,Student,6794,81528,1,Yes,AAY,Yes,No,Yes,Yes,19.949501,87.772211
BEN00066,Benjamin Mane,66,Male,0401162160,428941115748,Uttar Pradesh,Lucknow,Warangal,Teacher,68230,818760,3,Yes,PHH,No,No,Yes,No,27.650716,72.581293
BEN00067,Zarna Korpal,76,Female,3016326237,536618772435,Rajasthan,Kota,Mathura,Teacher,29111,349332,7,No,None,No,No,Yes,No,36.788069,76.561692
BEN00068,Elijah Sastry,90,Male,5470392262,944909953816,Maharashtra,Mumbai,Nellore,Electrician,68107,817284,5,No,None,No,No,Yes,No,26.005844,87.655169
BEN00069,Manan Rao,23,Female,6877702020,696083533662,Uttar Pradesh,Lucknow,Nagpur,Nurse,60779,729348,1,No,None,No,Yes,Yes,No,20.04959,73.823049
BEN00070,Yashvi Mandal,82,Female,8416755816,254942230953,Maharashtra,Aurangabad,Thrissur,Shopkeeper,24567,294804,5,No,None,No,No,Yes,No,31.322744,81.58161
BEN00071,Baghyawati Dugal,89,Female,2450467147,217559584131,Uttar Pradesh,Varanasi,Amritsar,Homemaker,14836,178032,7,Yes,PHH,No,No,Yes,Yes,19.049739,86.517929
BEN00072,Chatura Badami,21,Female,7409226180,226669858209,Uttar Pradesh,Varanasi,Chennai,Labourer,32015,384180,2,No,None,No,No,Yes,No,12.053533,95.441584
BEN00073,Chatresh Murthy,86,Male,7454180201,549320804913,Madhya Pradesh,Bhopal,Chapra,Tailor,53940,647280,8,Yes,AAY,No,No,Yes,No,26.992735,92.177099
BEN00074,Kalpit Krish,65,Male,7451768815,534051757557,Maharashtra,Mumbai,Dibrugarh,Student,61115,733380,8,No,None,No,Yes,Yes,No,34.14919,86.699977
BEN00075,Gopal Khurana,33,Female,3777900046,173895795270,Maharashtra,Pune,Mysore,Electrician,15015,180180,4,No,None,No,Yes,No,No,36.675806,90.822365
BEN00076,Upadhriti Sampath,45,Male,2739809173,826321603086,Gujarat,Surat,Proddatur,Driver,46064,552768,3,No,None,No,No,No,No,23.666248,91.156901
BEN00077,Tarak Wali,19,Female,5955129678,664195661328,Madhya Pradesh,Bhopal,Raebareli,Nurse,34186,410232,6,Yes,AAY,No,Yes,Yes,No,9.843183,80.999981
BEN00078,Chandresh Nadig,75,Male,2768696187,179214497029,Gujarat,Ahmedabad,Ahmednagar,Tailor,8683,104196,5,No,None,No,Yes,Yes,Yes,20.361935,71.130893
BEN00079,Chaitanya Gulati,36,Male,0032130172,575046690837,Madhya Pradesh,Indore,Hyderabad,Homemaker,19540,234480,5,No,None,No,No,Yes,No,23.386148,81.157747
BEN00080,Udarsh Chaudry,88,Male,0449907629,382029490777,Madhya Pradesh,Gwalior,Chandrapur,Nurse,59370,712440,8,No,None,No,No,Yes,No,10.757489,80.376156
BEN00081,Onveer De,78,Male,4896987989,236021671257,Maharashtra,Pune,Hyderabad,Homemaker,14957,179484,2,Yes,AAY,Yes,No,No,Yes,35.742114,84.288818
BEN00082,Advika Singh,72,Male,8075094948,938012051386,Rajasthan,Kota,Berhampore,Labourer,40700,488400,5,Yes,AAY,No,No,Yes,No,18.153306,84.131699
BEN00083,Janaki Sarkar,46,Female,0717707194,540909937895,Maharashtra,Aurangabad,Satara,Farmer,6441,77292,5,Yes,PHH,No,No,No,Yes,13.260761,72.154293
BEN00084,Bachittar Mangal,21,Male,6210281580,159628500646,Madhya Pradesh,Bhopal,Bangalore,Mechanic,31197,374364,7,No,None,No,No,Yes,No,35.300815,85.290489
BEN00085,Aachal Kale,24,Male,3415750042,409713913259,Uttar Pradesh,Kanpur,Bettiah,Mechanic,38665,463980,8,No,None,No,No,Yes,No,22.858043,78.010013
BEN00086,Yatan Dhar,85,Female,8117505832,230258293666,Gujarat,Vadodara,Nanded,Mechanic,8952,107424,4,Yes,AAY,No,Yes,Yes,Yes,11.979809,75.410066
BEN00087,Ekiya Kamdar,73,Male,3506450915,576923056688,Madhya Pradesh,Jabalpur,Begusarai,Shopkeeper,19932,239184,7,No,None,No,No,Yes,No,10.090189,92.991166
BEN00088,Lekha Dugar,27,Female,8734391571,196043425993,Madhya Pradesh,Jabalpur,Sirsa,Shopkeeper,59267,711204,7,No,None,No,Yes,Yes,No,12.984322,95.480815
BEN00089,Janani Krishnamurthy,49,Female,2114818624,312643624935,Rajasthan,Jaipur,Sagar,Labourer,55487,665844,2,Yes,AAY,No,No,Yes,No,22.804015,71.306773
BEN00090,Lopa Chadha,36,Male,0182415736,930921351388,Maharashtra,Nagpur,Ballia,Driver,16474,197688,3,Yes,AAY,No,Yes,No,No,35.587472,86.210514
BEN00091,Arya Chandran,75,Female,0694698345,608139332488,Gujarat,Bhavnagar,Siwan,Homemaker,44436,533232,3,No,None,No,No,No,No,9.628991,82.71277
BEN00092,Harini Ranganathan,25,Female,3381643632,915149650491,Rajasthan,Jaipur,Alwar,Tailor,40627,487524,2,No,None,No,Yes,Yes,No,21.418638,84.075175
BEN00093,Ikshita Trivedi,42,Female,1954754524,370751053808,Madhya Pradesh,Jabalpur,Ambarnath,Nurse,65341,784092,3,No,None,No,No,No,No,10.445545,86.737686
BEN00094,Shravya Sachar,85,Male,8868287683,461060342132,Rajasthan,Ajmer,Chennai,Farmer,50696,608352,6,No,None,No,No,Yes,No,30.887581,86.771855
BEN00095,Gauri Ramachandran,67,Female,9076389550,715509967407,Madhya Pradesh,Ujjain,Khora ,Driver,36029,432348,3,Yes,PHH,No,Yes,Yes,No,25.256196,95.202064
BEN00096,Madhav Pal,34,Male,1417931362,422453968724,Rajasthan,Kota,Chandigarh,Electrician,58496,701952,6,Yes,PHH,No,No,Yes,No,14.569748,71.989395
BEN00097,Aahana Deshmukh,87,Male,0353431733,149124433247,Madhya Pradesh,Ujjain,Sambhal,Homemaker,47140,565680,3,No,None,No,Yes,Yes,No,31.462268,72.800636
BEN00098,Ekanta Keer,48,Female,8397523036,608698492376,Rajasthan,Kota,Panihati,Shopkeeper,40346,484152,8,Yes,AAY,No,No,No,No,27.670898,84.542162
BEN00099,Hema Malhotra,82,Female,0869712789,670568762733,Maharashtra,Nashik,Faridabad,Shopkeeper,24241,290892,4,No,None,No,No,Yes,No,24.081682,70.975102
BEN00100,Ronith Raman,28,Male,2083811232,129766150285,Madhya Pradesh,Indore,Nashik,Electrician,38755,465060,8,No,None,No,No,No,No,31.684394,93.654263
BEN00101,Ekbal Sem,68,Female,2334063140,139245691417,Rajasthan,Jaipur,Sri Ganganagar,Nurse,33903,406836,7,No,None,No,Yes,No,No,26.84886,90.950038
BEN00102,Warda Loyal,35,Female,0034531213,416866248678,Maharashtra,Nashik,Raichur,Nurse,61799,741588,1,No,None,Yes,No,Yes,Yes,25.657523,80.274388
BEN00103,Varenya Sengupta,33,Male,8570535599,733573714419,Uttar Pradesh,Agra,Gandhinagar,Mason,34252,411024,7,No,None,No,Yes,No,No,25.305432,68.476625
BEN00104,Jyoti Srivastava,55,Female,4055152455,707770611156,Uttar Pradesh,Kanpur,Morena,Labourer,3205,38460,6,Yes,PHH,No,No,Yes,Yes,35.648707,83.778377
BEN00105,Indali Dhar,78,Male,9348870348,147817630111,Madhya Pradesh,Jabalpur,Khora ,Mechanic,53709,644508,6,Yes,AAY,Yes,No,Yes,Yes,24.875196,89.943689
BEN00106,Praneel Loke,61,Male,8305593505,322441120293,Maharashtra,Aurangabad,Guwahati,Mason,63899,766788,8,No,None,No,Yes,No,No,9.07253,73.846139
BEN00107,Frederick Chopra,57,Female,8542152774,578322000167,Madhya Pradesh,Indore,Panihati,Retired,65049,780588,5,Yes,AAY,No,No,No,No,17.625816,71.609775
BEN00108,Yash Kamdar,67,Female,3130669102,301100424526,Rajasthan,Ajmer,Sonipat,Labourer,27486,329832,8,No,None,No,No,Yes,No,29.085358,70.288883
BEN00109,Vasudha Krishna,59,Male,8082620685,490462379884,Gujarat,Rajkot,Motihari,Nurse,13494,161928,6,No,None,No,No,Yes,No,20.873343,80.96676
BEN00110,Onkar Rout,53,Male,8550280575,173556597858,Gujarat,Vadodara,Adoni,Homemaker,12835,154020,7,Yes,AAY,No,No,No,No,27.664577,80.707012
BEN00111,Thomas Patla,64,Female,6320453127,814314846322,Uttar Pradesh,Agra,Surat,Homemaker,7244,86928,3,No,None,No,No,No,Yes,11.993158,78.641549
BEN00112,Omya Rastogi,32,Male,2404869873,861435754729,Maharashtra,Pune,Bhilwara,Nurse,27385,328620,8,No,None,No,Yes,No,No,20.94192,96.894588
BEN00113,Azad Narayan,33,Male,3702587923,420156188169,Rajasthan,Jodhpur,Khora ,Retired,12706,152472,8,Yes,PHH,No,No,No,No,18.075334,69.883233
BEN00114,Abha Yohannan,40,Female,7791548496,244103226328,Maharashtra,Pune,Faridabad,Shopkeeper,69683,836196,4,Yes,AAY,No,Yes,No,No,24.066622,78.698424
BEN00115,Gautam Parmer,26,Female,9755626222,669856728937,Gujarat,Ahmedabad,Dharmavaram,Shopkeeper,55187,662244,8,No,None,No,No,Yes,No,26.627819,81.04926
BEN00116,Urvi Pandya,88,Male,9693176016,347859694204,Maharashtra,Pune,Bikaner,Teacher,19912,238944,7,No,None,No,No,Yes,No,12.775055,77.357162
BEN00117,Madhav Kala,54,Male,4790684491,269997582302,Maharashtra,Aurangabad,Sonipat,Student,35847,430164,4,No,None,No,Yes,Yes,No,10.709424,86.588635
BEN00118,Netra Comar,61,Male,2293846115,699694103067,Uttar Pradesh,Prayagraj,Imphal,Homemaker,6718,80616,2,Yes,PHH,No,No,Yes,Yes,26.530745,82.443104
BEN00119,Isaac Comar,79,Male,7771431428,450977696076,Maharashtra,Nagpur,Sambhal,Mason,56227,674724,5,No,None,No,Yes,Yes,No,13.916667,85.593148
BEN00120,Farhan Manda,34,Female,8861219293,372378814691,Maharashtra,Nashik,Chinsurah,Teacher,16917,203004,6,Yes,AAY,No,No,Yes,No,35.416162,93.060752
BEN00121,Ranveer Keer,58,Male,3202302369,366144892534,Uttar Pradesh,Agra,Siliguri,Labourer,23885,286620,8,No,None,No,No,Yes,No,35.411751,82.657889
BEN00122,Kala Bajwa,63,Male,0275432775,899999819493,Uttar Pradesh,Prayagraj,Tiruchirappalli,Student,9624,115488,5,No,None,No,No,Yes,Yes,8.237145,71.117415
BEN00123,Reyansh Sastry,64,Male,4291474564,850001111711,Maharashtra,Nashik,Alwar,Student,55505,666060,1,No,None,No,No,Yes,No,21.060277,83.945856
BEN00124,Mekhala Roy,34,Male,0123253541,147417533778,Gujarat,Ahmedabad,Avadi,Electrician,54629,655548,6,No,None,No,No,No,No,25.471426,79.640225
BEN00125,Thomas Agate,60,Female,3649203346,430036462228,Madhya Pradesh,Bhopal,Kanpur,Driver,62898,754776,3,No,None,No,No,Yes,No,19.395683,85.878514
BEN00126,Gopal Dara,82,Female,9495586858,859659881269,Gujarat,Rajkot,Patiala,Homemaker,42294,507528,8,No,None,No,No,No,No,16.922657,94.064246
BEN00127,Abhimanyu Tailor,78,Female,7572208020,727200819527,Madhya Pradesh,Ujjain,Visakhapatnam,Tailor,32824,393888,1,No,None,No,No,Yes,No,12.285496,87.74108
BEN00128,Saksham Chandran,20,Female,8082758409,329860994118,Madhya Pradesh,Bhopal,Rajpur Sonarpur,Nurse,44116,529392,7,Yes,PHH,No,No,No,No,29.094661,88.467482
BEN00129,Ansh Ganesh,79,Female,1504616695,771150325090,Gujarat,Rajkot,Aurangabad,Nurse,44124,529488,3,No,None,No,No,Yes,No,27.741631,91.305923
BEN00130,Oviya Bobal,49,Female,7210727531,715678421562,Rajasthan,Jodhpur,Ulhasnagar,Nurse,42124,505488,4,No,None,No,No,Yes,No,28.44466,77.194182
BEN00131,Rajeshri Mohan,33,Female,2482511316,381990252760,Maharashtra,Nagpur,Bidhannagar,Nurse,54712,656544,6,No,None,No,No,Yes,No,10.291854,94.796279
BEN00132,Adya Kadakia,43,Female,4197438560,887397615467,Rajasthan,Jodhpur,Salem,Retired,38601,463212,3,Yes,AAY,No,No,Yes,No,14.75226,70.905741
BEN00133,Praneel Sarin,35,Male,4681293938,167198619879,Rajasthan,Jaipur,Chandrapur,Mechanic,23701,284412,7,No,None,No,No,Yes,No,35.953507,77.313863
BEN00134,Baghyawati Chaudhuri,47,Male,3683432818,108750850618,Madhya Pradesh,Ujjain,Mathura,Tailor,25946,311352,7,No,None,No,No,No,No,30.850858,73.403037
BEN00135,Aadi Bail,31,Female,4199988836,461261067017,Maharashtra,Aurangabad,Siwan,Student,40298,483576,8,No,None,No,No,No,No,21.572602,73.591531
BEN00136,Rajeshri Agrawal,50,Male,5603929815,458695399156,Uttar Pradesh,Varanasi,Maheshtala,Retired,4846,58152,6,No,None,No,No,Yes,No,34.01424,91.982705
BEN00137,Nidra Ramaswamy,30,Male,0527685407,383516957646,Madhya Pradesh,Jabalpur,Guntur,Shopkeeper,21430,257160,8,Yes,PHH,No,No,Yes,No,16.756429,88.963593
BEN00138,Frado Buch,25,Male,7257619029,504994102687,Maharashtra,Pune,Solapur,Nurse,64000,768000,5,Yes,PHH,No,No,No,No,11.405057,94.567781
BEN00139,Jagrati Kakar,46,Male,6861974593,339769141370,Gujarat,Surat,Gaya,Mason,65676,788112,3,No,None,No,No,Yes,No,29.963165,91.257855
BEN00140,Zinal Uppal,28,Female,4245922153,587566154345,Uttar Pradesh,Prayagraj,Nellore,Electrician,50419,605028,2,No,None,No,No,No,No,24.608349,72.345719
BEN00141,Hredhaan Mandal,80,Male,7628845401,895892527950,Madhya Pradesh,Bhopal,South Dumdum,Farmer,69895,838740,8,No,None,No,No,Yes,No,24.205119,87.510264
BEN00142,Aadi Yohannan,50,Male,0231175340,249331597922,Madhya Pradesh,Jabalpur,Unnao,Mason,31560,378720,2,Yes,AAY,No,Yes,No,No,8.920311,79.857141
BEN00143,Nandini Lanka,66,Female,1347109714,239710314903,Rajasthan,Kota,Jaipur,Labourer,52479,629748,7,Yes,PHH,No,No,Yes,No,13.175735,83.580496
BEN00144,Rudra Kunda,20,Female,8363429321,223546838526,Uttar Pradesh,Lucknow,Mango,Teacher,63686,764232,7,No,None,No,No,Yes,No,13.465933,93.381037
BEN00145,Kabir Shah,20,Male,5984584171,693711966374,Madhya Pradesh,Jabalpur,Kurnool,Electrician,30011,360132,2,Yes,AAY,Yes,No,Yes,Yes,29.475691,79.665695
BEN00146,Vedant Raghavan,35,Female,0236011722,428193742057,Uttar Pradesh,Lucknow,Tiruppur,Driver,33692,404304,6,No,None,No,No,Yes,No,36.585171,83.116281
BEN00147,Bishakha Venkataraman,89,Male,2771756904,303480347115,Maharashtra,Mumbai,Anand,Nurse,58994,707928,8,Yes,PHH,No,No,Yes,No,20.073414,72.327311
BEN00148,Rachana Swamy,48,Male,2702735041,324433497350,Gujarat,Vadodara,Shahjahanpur,Student,42418,509016,3,No,None,No,No,No,No,23.369763,79.264152
BEN00149,Chatura Dhar,75,Female,3206053370,717064181373,Maharashtra,Mumbai,Nadiad,Electrician,15119,181428,4,Yes,AAY,No,No,Yes,No,31.334868,85.039927
BEN00150,Vihaan Agrawal,44,Female,1186741810,706618307372,Uttar Pradesh,Varanasi,Navi Mumbai,Electrician,42739,512868,1,Yes,PHH,No,No,Yes,No,28.173162,88.409289
BEN00151,Sanya Lad,66,Female,5268833427,445189549205,Maharashtra,Nagpur,Gwalior,Mechanic,50088,601056,5,Yes,PHH,No,No,Yes,No,32.352204,94.515584
BEN00152,Sachi Chandran,90,Male,2518201156,369867237953,Rajasthan,Jaipur,Secunderabad,Electrician,22126,265512,1,Yes,AAY,No,No,Yes,No,17.566093,79.015353
BEN00153,Azad Hayre,61,Female,5135356293,675777869916,Rajasthan,Udaipur,Aligarh,Student,67044,804528,8,No,None,No,No,Yes,No,22.161173,94.590082
BEN00154,Gaurangi Borra,24,Male,3714855845,832883463760,Madhya Pradesh,Gwalior,Nagpur,Student,57053,684636,3,No,None,No,No,Yes,No,21.22428,69.753053
